07/04/2015 15:25:37:	{"username":"admin","module":"users","class":"admin_users","action":"dashboard","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 15:25:42:	{"username":"admin","module":"musics","class":"admin_music_categories","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 15:25:48:	{"username":"admin","module":"musics","class":"admin_music_categories","action":"edit","post_params":[],"get_params":{"ReturnUrl":"http:\/\/localhost:8080\/2015\/film\/musics\/admin_music_categories"},"ip":"::1"}>>>>>
07/04/2015 15:25:49:	{"username":"admin","module":"frontend","class":"frontend","action":"static","post_params":[],"get_params":{"t":"D2LI"},"ip":"::1"}>>>>>
07/04/2015 15:25:49:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 15:26:18:	{"username":"admin","module":"module_builder","class":"module_builder","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 15:31:10:	{"username":"admin","module":"module_builder","class":"module_builder","action":"index","post_params":{"module":"films","model":"film","db_table":"films","module_resource":"films","module_resource_main":"","username":"admin","new_module":"1","new_model":"1","new_resource":"1","insert_field":"1"},"get_params":[],"ip":"::1"}>>>>>
07/04/2015 15:31:29:	{"username":"admin","module":"module_builder","class":"module_builder","action":"index","post_params":{"module":"films","model":"film","db_table":"films","module_resource":"admin_films","module_resource_main":"films","username":"admin","new_module":"1","new_model":"1","new_resource":"1"},"get_params":[],"ip":"::1"}>>>>>
07/04/2015 15:31:39:	{"username":"admin","module":"articles","class":"admin_article_categories","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 15:31:45:	{"username":"admin","module":"films","class":"admin_films","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 15:31:48:	{"username":"admin","module":"films","class":"admin_films","action":"add","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 15:58:17:	{"username":"admin","module":"films","class":"admin_films","action":"add","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 15:58:27:	{"username":"admin","module":"musics","class":"admin_music_categories","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 15:58:30:	{"username":"admin","module":"musics","class":"admin_music_categories","action":"add","post_params":[],"get_params":[],"ip":"::1"}>>>>>
